name,tip,has_onset_violation,has_coda_violation
Kaantju,kanj1260,0,0
Karajarri,kara1476,0,0
Northkarelian,kare1335,1,0
Kare,kare1341,1,0
Kariyarra,kari1304,0,0
Kartujarra,kart1247,0,0
Ogh Unyjan,kawa1290,0,1
Kazakh,kaza1248,0,0
Kein,kein1239,0,0
Klon,kelo1247,1,1
Kesawai,kesa1244,1,0
Ket,kett1243,0,1
Northernkhanty,khan1273,1,1
Kildinsami,kild1236,1,1
Kija,kitj1240,0,0
Kobol,kobo1248,1,0
Kok Nar,kokn1236,1,0
Migum,kolo1267,1,1
Komizyrian,komi1268,1,1
Komipermyak,komi1269,1,1
Korak,kora1296,1,0
Korean,kore1280,0,1
Koreguaje,kore1283,0,0
Kowaki,kowa1245,0,0
Kui,kuii1254,1,0
Kukatja,kuka1246,0,0
Kuku Yalanji,kuku1273,0,0
Gumbaynggir,kumb1268,0,0
Gunggari,kung1258,0,0
Kunming,kunm1234,0,0
Kurrama,kurr1243,0,0
Kuugu Ya'u,kuuk1238,1,0
Kungkari,kuun1236,0,0
Waube,kwat1244,1,0
Lak,lakk1252,1,1
Westernpantar,lamm1241,0,0
Lanping,lanp1241,0,0
Larrakia,lara1258,0,1
Lardil,lard1243,0,0
Latin,lati1261,1,1
Latvian,latv1249,1,1
Lemio,lemi1243,1,0
Linngithigh,leni1238,1,1
Lezgian,lezg1247,1,1
Limilngan,limi1242,0,0
Lithuanian,lith1251,1,0
Olonetskarelian,livv1243,1,1
Livonian,livv1244,1,1
Lulesami,lule1254,1,0
Jitnu,maca1259,0,1
Macuna,macu1260,0,0
Matngele,madn1237,0,0
Malayalam,mala1464,1,0
Mala,mala1494,0,0
Malas,mala1495,0,1
Dimina,mala1522,0,0
Male,male1291,0,0
Malkana,malg1242,0,0
Malngin,maln1239,0,0
Malyangapa,maly1234,0,0
Manchu,manc1252,0,1
Mandarinchinese,mand1415,0,1
Mangarrayi,mang1381,0,0
Mengerrdji,mang1382,0,1
Mangala,mang1383,0,0
Northernmansi,mans1258,1,1
Marra,mara1385,1,0
Margany,marg1253,0,0
Martuthunira,mart1255,0,0
Matepi,mate1260,1,0
Mawng,maun1240,0,0
Mauwake,mauw1238,0,0
Mawak,mawa1266,1,0
Mawan,mawa1267,0,0
Mbabaram,mbab1239,1,0
Rimanggudinhma,mbar1253,1,0
Miani,mian1254,0,0
Witotominica,mini1256,0,0
Mirana,mira1254,0,0
Miriwoong,miri1266,0,1
Mirniny,kala1379,0,0
Moderngreek,mode1248,1,1
Moere,moer1240,1,0
Moksha,moks1248,1,1
Moresada,more1258,1,0
Mosimo,mosi1248,0,0
Central Arrernte,mpar1238,1,0
Mudburra,mudb1240,0,0
Muinane,muin1242,0,0
Mum,mumm1238,1,1
Munit,muni1257,1,0
Kuninjku,mura1269,0,0
Murrinh-Patha,murr1258,0,0
Muruwari,muru1266,0,0
Murupi,muru1273,0,0
Witotomurui,muru1274,0,0
Musar,musa1265,1,0
Musak,musa1266,1,1
Nakara,naka1260,1,0
Nake,nake1240,0,0
Nanai,nana1257,1,1
Nanchang,nanc1254,0,0
Narrungga,naru1238,0,0
Nedebang,nede1245,1,0
Nend,nend1239,1,1
Tundranenets,nene1249,1,1
Ngaanyatjarra,ngaa1240,0,0
Ngadjunmaya,ngad1258,0,0
Dalabon,ngal1292,0,0
Ngalakgan,ngal1293,0,0
Ngamini,ngam1284,0,0
Nganasan,ngan1291,1,0
Ngandi,ngan1295,0,0
Ngarinyman,east2376,0,0
Ngarinyin,ngar1284,0,0
Ngarluma,ngar1287,0,0
Ngarla,ngar1296,0,0
Ngawun,ngaw1240,0,0
Nhanda,nhan1238,0,0
Nhirrpi,nhir1234,0,0
Nyiyaparli,nija1241,0,0
Nobonob,nobo1238,0,0
Northernkurdish,nort2641,1,1
Northernpashto,nort2646,1,1
Northernsami,nort2671,1,0
Northernuzbek,nort2690,0,1
Northazerbaijani,nort2697,1,1
Luobenzhuo,nort2724,0,0
Northernyukaghir,nort2745,0,1
Emberadarien,nort2972,0,0
Norwegianbokmal,norw1258,1,1
Armenian,nucl1235,1,1
Turkish,nucl1301,0,1
Georgian,nucl1302,1,1
Kannada,nucl1305,1,1
Japanese,nucl1643,0,0
Bora,nucl1660,1,0
Nukunu,nugu1241,0,0
Nukak,nuka1242,1,1
Wubuy,nung1290,0,0
Nungali,nung1291,0,0
Witotonipode,nupo1240,0,0
Nyamal,nyam1271,0,0
Nyangumarta,nyan1301,0,0
Nyawaygi,nyaw1247,0,0
Nyikina,nyig1240,0,1
Ocaina,ocai1244,0,0
Ogea,ogea1238,1,0
Orejon,orej1242,0,0
Ossetian,osse1243,1,1
Wenzhou,ouji1238,0,0
Oykangand,oyka1239,0,1
Paez,paez1247,1,1
Bakanh,paka1251,0,0
Pal,pall1244,0,0
Pamosu,pamo1253,1,0
Bara,pamo1254,0,0
Panim,pani1258,0,1
Panyjima,pany1241,0,0
Paynamar,payn1244,1,1
Giacone,peri1265-1,1,1
Tariano,peri1265-2,0,0
Piapoco,piap1246,0,0
Maia-Pila,pila1246,1,1
Pintupi,pint1250,0,0
Piratapuyo,pira1254,0,0
Ngalia,pitj1243,0,0
Pitta Pitta,pitt1247,1,0
Playero,play1240,0,0
Polish,poli1260,1,1
Portuguese,port1283,0,0
Putijarra,pudi1238,0,0
Puinave,puin1248,0,0
Pulabu,pula1267,1,0
Patjtjamalh,pung1239,0,0
Qiliqiao,qili1234,0,0
Rapting,rapt1240,0,0
Rembarrnga,remb1249,0,0
Rempi,remp1241,0,0
Rerau,rera1240,0,0
Resigaro,resi1247,0,0
Ritharrngu,rita1239,0,0
Romanian,roma1327,1,1
Russian,russ1263,1,1
Saep,saep1240,1,0
Saliba,sali1298,0,0
Sam,samm1244,1,1
Samosa,samo1306,0,0
Saruga,saru1243,0,0
Sausi,saus1246,1,0
Sawila,sawi1256,0,0
Secoya,seco1241,0,0
Northernselkup,selk1253,1,1
Shenyang,shen1252,0,0
Sihan,siha1245,0,0
Sileibi,sile1255,1,1
Silopi,silo1240,0,0
Sinsauru,sins1241,0,1
Siona,sion1247,0,0
Siriano,siri1274,0,0
Siroi,siro1249,1,1
Skoltsami,skol1241,1,1
Slovene,slov1268,1,1
Slovak,slov1269,1,1
Sop,sopp1247,0,1
Southernsami,sout2674,1,1
Southernyukaghir,sout2750,0,1
Spanish,stan1288,1,0
Catalan,stan1289,0,1
French,stan1290,1,1
English,stan1293,1,1
German,stan1295,1,1
Standardarabic,stan1318,1,1
Sumau,suma1270,0,0
Suzhou,suzh1234,0,0
Swedish,swed1254,1,1
Tamil,tami1289,0,1
Tanimuca,tani1257,0,0
Tatar,tata1255,1,1
Tatuyo,tatu1247,0,0
Tauya,tauy1241,0,0
Teiwa,teiw1235,0,0
Telugu,telu1262,1,0
Tiwi,tiwi1244,0,0
Totoro,toto1306,0,1
Tucano,tuca1252,0,0
Tuyuca,tuyu1244,0,0
Thaynakwithi,tyan1235,1,1
Udmurt,udmu1245,1,1
Ukrainian,ukra1253,1,1
Ukuriguma,ukur1240,0,0
Olkol,ulku1238,0,1
Umpila,umpi1239,0,0
Unggumi,ungg1243,0,0
Urigina,urig1240,1,0
Urningangg,urni1239,0,1
Usan,usan1239,0,1
Utarmbung,utar1238,1,1
Utu,utuu1240,0,0
Uya,uyaa1238,0,0
Veps,veps1250,1,1
Wadaginam,wada1263,1,1
Western Wakaya,waga1260,0,0
Wagiman,wage1238,0,0
Wagi,wagi1249,0,0
Watjarri,waja1257,0,0
Walmajarri,walm1241,0,0
Wamas,wama1247,1,0
Wambaya,nucl1328,0,0
Wanambre,wana1269,1,0
Warndarrang,wand1263,1,0
Wangkajunga,wang1288,0,0
Ngiyambaa,wang1291,0,0
Warnman,wanm1242,0,0
Wanyjirra,wany1244,0,0
Waanyi,wany1247,0,0
Wardaman,ward1246,0,0
Warriyangga,wari1262,0,0
Warlpiri,warl1254,0,0
Warlmanpa,warl1255,0,0
Warluwarra,warl1256,0,0
Warrgamay,warr1255,0,0
Waskia,wask1241,0,0
Wayilwan,wayi1238,0,0
Wayuu,wayu1243,1,1
Welsh,wels1247,1,1
Wemba Wemba,wemb1241,0,1
Wersing,wers1238,1,0
Westernfarsi,west2369,0,1
Hillmari,west2392,1,1
Ngardily,west2437,0,0
Western Arrernte,west2441,1,0
Wik Mungkan,wikm1247,0,1
Kugu Nganhcara,wikn1246,0,0
Wiradjuri,wira1262,0,0
Wirangu,wira1265,0,0
Wangkumara,wong1246,0,0
Worrorra,woro1258,0,0
Wotjobaluk,wotj1234,0,0
Wounaan,woun1238,1,1
Wulguru,wulg1239,0,1
Xiamen,xiam1236,0,0
Xiangyun,xian1250,0,0
Xi An,xian1253,0,0
Yaben,yabe1255,0,0
Yabong,yabo1240,1,0
Yadhaykenu,yadh1237,0,0
Sakha,yaku1245,0,0
Yalarnnga,yala1262,0,0
Yandruwandha,yand1253,0,0
Yangulam,yang1298,1,0
Yangzhou,yang1306,0,0
Yangjiang,yang1307,0,1
Nhangu,yann1237,0,0
Yanyuwa,yany1243,1,0
Yarawata,yara1250,1,0
Yarluyandi,yarl1238,0,0
Yawijibaya,yawi1239,0,0
Yaygir,yayg1236,0,0
Yidiny,yidi1250,0,0
Yindjibarndi,yind1247,0,0
Yingkarta,ying1247,0,0
Yinhawangka,yinh1234,0,0
Yoidik,yoid1240,0,1
Yorta Yorta,yort1237,0,0
Yucuna,yucu1253,0,0
Meixian,yuet1238,0,0
Yukpa,yukp1241,1,1
Yulparija,yulp1239,0,0
Yunlong,yunl1238,0,0
Yuruti,yuru1263,0,0
Yuwaalaraay,yuwa1242,0,0
Yuwaliyaay,yuwa1243,0,0
Zhoucheng,zhou1234,0,0
